patent_id,inventor_id
10539689,INV0001672
10539689,INV0000048
10774826,INV0003759
10774826,INV0000644
10774826,INV0000368
10836142,INV0000040
10836142,INV0001440
10836142,INV0004134
10668706,INV0001965
10802855,INV0000001
10802855,INV0002903
10802855,INV0000672
10593367,INV0001324
10593367,INV0000335
10593367,INV0000115
10871830,INV0003742
10586755,INV0000489
10586755,INV0002321
10586755,INV0000136
D884157,INV0000531
D884157,INV0001187
10552170,INV0000012
10822636,INV0000031
10822636,INV0000099
10675525,INV0000005
10763044,INV0000052
10763044,INV0000809
10643709,INV0000257
10643709,INV0000116
10643709,INV0004015
10684293,INV0000646
10684293,INV0004203
10680990,INV0000005
10680990,INV0004935
D881599,INV0004997
D881599,INV0002409
D881599,INV0000030
10824071,INV0000447
10744874,INV0003131
10550187,INV0000209
10633607,INV0000107
10633607,INV0000641
10529974,INV0003473
10529974,INV0000644
10529974,INV0000372
D903142,INV0002451
D903142,INV0000000
10528520,INV0001360
10528520,INV0000002
10848902,INV0000021
10848902,INV0000039
10848902,INV0001095
10692273,INV0000011
10692273,INV0000000
10789427,INV0000059
10789427,INV0004677
10870235,INV0001808
10588442,INV0000573
10791801,INV0000236
10791801,INV0000686
10791801,INV0000006
10828086,INV0000047
10828086,INV0000021
10828086,INV0000135
10687106,INV0000560
10555335,INV0000433
10555335,INV0001302
10674187,INV0000001
10674187,INV0000480
10674187,INV0000210
10765377,INV0000079
10854942,INV0000053
10854942,INV0000025
10854942,INV0003112
10562919,INV0000053
10873513,INV0002868
10592647,INV0001849
10592647,INV0000025
10592647,INV0000006
10701858,INV0002797
10701858,INV0002239
10701858,INV0001643
10611473,INV0000001
10738322,INV0000476
10738322,INV0000017
10738322,INV0001867
10752258,INV0000403
10752258,INV0000550
10645378,INV0002933
10645378,INV0001150
10737328,INV0002634
10737328,INV0000002
10646893,INV0000064
10646893,INV0002362
10646893,INV0000061
10857126,INV0000221
10857126,INV0000594
10745943,INV0000000
10750183,INV0000344
10678264,INV0002164
10678264,INV0001455
10678264,INV0000168
D876034,INV0000017
D876034,INV0004090
10594339,INV0000674
10594339,INV0003191
10850418,INV0000705
10850418,INV0004585
10850418,INV0000761
10758924,INV0000004
10632954,INV0000070
10617988,INV0003642
10617988,INV0003745
10617988,INV0000008
10771397,INV0000016
10771397,INV0000011
10771397,INV0000012
10634429,INV0001199
10634429,INV0004374
10659468,INV0000383
10659468,INV0000253
10659468,INV0000460
10864799,INV0000000
10864799,INV0001365
10864799,INV0003975
10605418,INV0000000
10832759,INV0000736
10832759,INV0003055
10832759,INV0000667
10556234,INV0000023
10556234,INV0000001
10837389,INV0001033
10687656,INV0000025
10687656,INV0000377
10687656,INV0000000
10728688,INV0000185
10547888,INV0002660
10547888,INV0002639
10853414,INV0000134
10532450,INV0002226
10681937,INV0000000
10681937,INV0001061
10836487,INV0002941
10836487,INV0000035
10836487,INV0001463
10752238,INV0000008
10752238,INV0000031
10752238,INV0000241
10672143,INV0001317
10672143,INV0000738
D876056,INV0000171
D876056,INV0000246
10652633,INV0003617
10652633,INV0000046
10687603,INV0000589
10687603,INV0000000
10687603,INV0000154
10832640,INV0000251
10557238,INV0003284
10557238,INV0004908
10557238,INV0000018
10866299,INV0000122
10764442,INV0000611
10527584,INV0000234
10527584,INV0000000
10633377,INV0000075
10633377,INV0003409
10633377,INV0004469
D891684,INV0000016
10699443,INV0002283
10699443,INV0001784
10671411,INV0001779
10671411,INV0000013
10671411,INV0000000
10832339,INV0000004
10832339,INV0000001
10681771,INV0003109
10681771,INV0002293
10681771,INV0000240
10750999,INV0000272
10750999,INV0003552
10839289,INV0000450
10839289,INV0000446
10839289,INV0000282
10750573,INV0003371
10802756,INV0000720
10802756,INV0002806
10535646,INV0001804
10767872,INV0000000
10767872,INV0001269
D887056,INV0000003
10654611,INV0000009
10654611,INV0001015
10850236,INV0000005
10850236,INV0000509
10741205,INV0004220
10741205,INV0000000
10610663,INV0002230
10559969,INV0000003
10821009,INV0003462
10710272,INV0003247
D901899,INV0001156
10841306,INV0000711
10535571,INV0002284
10535571,INV0001689
10535571,INV0000482
10726365,INV0000369
10726365,INV0000010
10726365,INV0000009
10640157,INV0000459
10640157,INV0003043
10640157,INV0000168
10766733,INV0000006
10673919,INV0000771
10673919,INV0002542
10673919,INV0000009
10704323,INV0000168
10838479,INV0000172
10838479,INV0004876
10838479,INV0004931
10800247,INV0000069
10559921,INV0000922
10832631,INV0000046
10832631,INV0003085
10604355,INV0000075
10604355,INV0000709
10604355,INV0001561
10712794,INV0004378
10712794,INV0004654
10864370,INV0001471
10864370,INV0001558
10833688,INV0000002
10739257,INV0000001
10739257,INV0000417
10524488,INV0002997
10524488,INV0000014
10524488,INV0001448
10631251,INV0001148
10634486,INV0001970
10634486,INV0000006
10634486,INV0000069
10595691,INV0000007
10743593,INV0000425
10577853,INV0000052
10577853,INV0000124
10577853,INV0000018
10818900,INV0000171
10818900,INV0000382
10818900,INV0000002
10862051,INV0003207
10862051,INV0000038
10853601,INV0000629
10853601,INV0000109
10602953,INV0000106
10602953,INV0001016
D901918,INV0004697
D901918,INV0000208
D901918,INV0000168
10612893,INV0000090
10612893,INV0001836
10612893,INV0000149
10524960,INV0002578
10524960,INV0000669
10833851,INV0000015
10742187,INV0000192
10642444,INV0002267
10642444,INV0000048
10807704,INV0004814
10807704,INV0000564
10536311,INV0004749
10536311,INV0000151
10536311,INV0000264
10611207,INV0000000
10611207,INV0001519
10615571,INV0001823
10615571,INV0000067
D890066,INV0000141
10613836,INV0000761
10613836,INV0002644
10613836,INV0003105
D901469,INV0001046
D881265,INV0000090
D881265,INV0000002
D881265,INV0001894
10575529,INV0001875
10575529,INV0000275
10575529,INV0000120
10582362,INV0000027
10625816,INV0004259
10625816,INV0000024
D884311,INV0000037
D884311,INV0000150
D884311,INV0001918
10689163,INV0000858
10614101,INV0000352
10614101,INV0001127
10712514,INV0001749
10538075,INV0004630
10773762,INV0000027
10773762,INV0000286
10560086,INV0001360
10699806,INV0000000
10824576,INV0001745
10824576,INV0000416
10824576,INV0000001
10870768,INV0001883
10870768,INV0000284
10870768,INV0000004
10758869,INV0003195
10758869,INV0000266
10758869,INV0001885
10684189,INV0000110
10684189,INV0000537
10534565,INV0000311
10685630,INV0002230
10685630,INV0000000
10685630,INV0000097
10676526,INV0000500
10676526,INV0000164
10676526,INV0000002
10813421,INV0000022
10813421,INV0000516
10779630,INV0000090
10853519,INV0000007
10853519,INV0000109
10853519,INV0001104
10868340,INV0000042
D879957,INV0001358
10661893,INV0001021
10529739,INV0000143
10529739,INV0000007
10529739,INV0000000
10822331,INV0000021
10864259,INV0000331
10585510,INV0000001
10585510,INV0000015
10794791,INV0000000
10794791,INV0000426
10794791,INV0000123
10617141,INV0001950
10873743,INV0000474
10873743,INV0000054
10840547,INV0000763
10840547,INV0000000
10834033,INV0000000
10834033,INV0000345
10679764,INV0002383
10679764,INV0000026
10679764,INV0000037
PP32180,INV0000257
D896940,INV0000032
D896940,INV0000609
10532512,INV0003639
10532512,INV0000011
10532512,INV0004776
10796803,INV0000258
10796803,INV0000289
10626353,INV0000964
10626353,INV0000079
10626353,INV0000022
10529438,INV0000169
10529438,INV0000049
10529438,INV0003507
10840127,INV0000188
10840127,INV0000000
10840127,INV0001080
10761983,INV0002634
10761983,INV0000706
10761983,INV0000000
10642207,INV0001009
10642207,INV0004531
10584826,INV0000635
10805327,INV0000003
10805327,INV0000162
10876904,INV0000000
10876904,INV0000127
10730037,INV0000093
10730037,INV0000242
10730037,INV0000028
10827991,INV0002056
10827991,INV0001454
10768289,INV0001388
10768289,INV0000614
10537038,INV0000057
10739486,INV0000061
10739486,INV0000759
D897163,INV0001133
D881646,INV0003462
D881646,INV0001907
10653357,INV0000349
10840368,INV0000525
10840368,INV0003438
10740457,INV0000281
10808327,INV0000014
10808327,INV0002773
10808327,INV0002387
D876800,INV0001294
D876800,INV0000041
D876800,INV0000078
10602978,INV0000324
10870214,INV0000073
10870214,INV0000002
10870214,INV0000855
10574473,INV0001848
10573952,INV0000006
10573952,INV0002374
10573952,INV0000106
10590763,INV0000042
10590763,INV0000688
10590763,INV0004641
10582087,INV0004070
10582087,INV0000001
10582087,INV0000091
10843050,INV0000016
10843050,INV0001131
10616012,INV0000168
10616012,INV0000047
10616012,INV0001205
10536675,INV0001660
10576732,INV0000155
D889390,INV0000000
10695395,INV0000003
10695395,INV0000185
10559097,INV0004845
10769901,INV0003349
10769901,INV0000029
10785676,INV0000706
10655061,INV0002309
10564041,INV0002159
10564041,INV0004343
10564041,INV0000191
10710971,INV0000915
10726523,INV0000018
10726523,INV0000011
10715933,INV0000247
10715933,INV0002242
10715933,INV0000016
10792336,INV0000778
10792336,INV0000406
10792336,INV0000402
10733137,INV0001843
10733137,INV0000313
10601706,INV0001860
10601706,INV0000000
10699462,INV0000024
10699462,INV0000001
10699462,INV0000297
10582067,INV0000012
10582067,INV0004157
10582067,INV0003786
10785013,INV0000466
10785013,INV0000011
10785013,INV0001075
10610382,INV0001355
10610382,INV0001986
10868774,INV0001938
10607588,INV0004310
10607588,INV0000404
10607588,INV0000313
10668003,INV0000024
10668003,INV0000123
10668003,INV0000000
10730805,INV0000016
10730805,INV0000032
10678520,INV0000050
10678520,INV0000256
10643168,INV0000153
10643168,INV0000034
10832620,INV0002916
10832620,INV0001532
10798583,INV0000070
10582778,INV0000577
10582778,INV0001991
10582778,INV0003535
10691151,INV0000004
10691151,INV0000007
D877763,INV0000003
10529102,INV0003474
10529102,INV0000220
10879334,INV0002892
10879334,INV0000773
10879334,INV0001235
10569625,INV0003822
10616182,INV0000498
10663021,INV0000003
10663021,INV0000699
10663021,INV0003849
10729431,INV0000002
10729431,INV0001032
10874276,INV0002699
10874276,INV0001708
10790859,INV0000352
10790859,INV0001522
10547809,INV0000027
10547809,INV0000003
10547809,INV0001414
10865518,INV0000021
10636006,INV0000002
10636006,INV0000000
10787321,INV0000520
10787321,INV0000450
10701552,INV0000004
10701552,INV0000444
10599095,INV0001797
10599095,INV0002494
10599095,INV0002034
D896048,INV0000244
10564532,INV0000156
10564532,INV0000047
10693445,INV0000058
10693445,INV0000025
10693445,INV0001447
10805587,INV0000022
10877441,INV0000002
10877441,INV0000725
10877441,INV0000103
10547984,INV0001765
10547984,INV0000207
10609207,INV0000807
10609207,INV0000689
10642578,INV0000895
10861622,INV0000005
D906193,INV0000316
D906193,INV0001273
10683628,INV0001305
10807864,INV0000118
10807864,INV0003211
10807864,INV0000000
10742359,INV0001148
10742359,INV0000003
10556931,INV0000231
10537133,INV0000609
10537133,INV0000690
10537133,INV0003305
10623564,INV0000003
10623564,INV0000842
10623564,INV0000132
10683709,INV0001920
10651943,INV0000031
10651943,INV0000668
10651943,INV0000218
10710756,INV0000005
10880775,INV0001092
10880775,INV0000030
10751671,INV0000380
10751671,INV0001860
10790312,INV0004715
10690035,INV0000032
10690035,INV0000432
10657326,INV0000065
D884799,INV0004298
10814912,INV0000182
10814912,INV0000033
10549563,INV0000000
10785945,INV0000059
10785945,INV0000002
10785945,INV0000057
10736796,INV0001269
10736796,INV0000431
10736796,INV0000001
10595032,INV0000029
10564692,INV0001605
10564692,INV0000073
10564692,INV0000220
10648301,INV0004960
10648301,INV0003190
10648301,INV0000965
10866466,INV0003381
10866466,INV0000073
10866466,INV0000617
10664136,INV0000003
10847871,INV0000001
10847871,INV0002560
10847871,INV0003048
10709262,INV0000528
10709262,INV0001320
10539095,INV0002819
10539095,INV0000165
10539095,INV0000989
10850735,INV0000074
10652924,INV0000236
10652924,INV0000466
10652924,INV0000182
10790766,INV0000709
10790766,INV0003034
10790766,INV0000342
10578525,INV0000001
10578525,INV0000896
10619684,INV0000190
10540381,INV0000252
D889495,INV0003251
D889495,INV0000058
D889495,INV0000002
10805251,INV0001026
10805251,INV0003479
10728658,INV0001395
10728658,INV0000033
10728658,INV0000529
10551823,INV0001280
10551823,INV0000004
10551823,INV0001053
10713778,INV0001374
10713778,INV0000160
10713778,INV0003566
10705352,INV0002389
10705352,INV0000085
10705352,INV0000860
10675696,INV0000252
10675696,INV0003128
10634062,INV0000261
10634062,INV0000442
10634062,INV0000713
10713273,INV0000015
10573874,INV0000005
10573874,INV0001448
10760310,INV0000020
10760310,INV0000522
10636113,INV0000213
10636113,INV0000089
10636113,INV0000361
10687642,INV0000240
10687642,INV0000849
10874548,INV0000196
10874548,INV0000000
10874548,INV0003728
10573263,INV0000031
10632004,INV0004135
10816022,INV0000633
10802495,INV0000126
10802495,INV0000006
10802495,INV0004531
D899673,INV0000032
10602489,INV0004480
10805529,INV0000009
10805529,INV0000943
10805529,INV0000511
10598846,INV0000103
10554050,INV0004031
10554050,INV0000008
10554050,INV0000019
D894810,INV0000195
D894810,INV0000008
10670801,INV0004672
10742668,INV0000014
10742668,INV0003197
10574449,INV0000497
10574449,INV0004242
10818178,INV0000495
10818178,INV0000344
10818178,INV0000000
10616947,INV0000153
10616947,INV0002668
10665800,INV0000030
10665800,INV0000514
10665800,INV0001356
10708116,INV0000345
10708116,INV0000671
10708116,INV0000449
10850624,INV0000037
10850624,INV0001626
10603126,INV0000408
10603126,INV0000038
10603126,INV0001322
10613493,INV0000114
10613493,INV0000831
10613493,INV0000253
10623107,INV0000177
10623107,INV0000074
10551012,INV0000046
10551012,INV0000040
10655202,INV0002288
10569496,INV0000927
10569496,INV0000006
10569496,INV0000826
10537908,INV0003815
10810713,INV0000115
10810713,INV0003416
10725618,INV0000210
10725618,INV0001032
10669786,INV0000309
10875174,INV0000930
10875174,INV0000461
10644180,INV0003364
10644180,INV0000850
10644180,INV0000630
10684558,INV0000951
10778996,INV0000062
10808677,INV0003875
10808677,INV0003493
10808677,INV0000204
10864257,INV0000171
10864257,INV0000010
10864257,INV0000823
10631796,INV0000902
10631796,INV0004682
10654293,INV0000104
10718932,INV0000786
10718932,INV0000217
10718932,INV0000548
10863332,INV0000839
10863332,INV0000022
10863332,INV0003782
10743341,INV0000000
10743341,INV0003089
10774927,INV0001224
10774927,INV0000023
10701677,INV0000024
10701677,INV0000069
10858048,INV0000034
10682286,INV0000002
10682286,INV0004338
10548510,INV0000011
10670508,INV0000945
10647312,INV0001503
10820541,INV0000000
10820541,INV0000323
10820541,INV0001088
10534303,INV0000021
10534303,INV0000698
10534303,INV0000000
10666980,INV0000322
10666980,INV0001790
10666980,INV0004398
D904225,INV0000446
D904225,INV0000001
10583457,INV0000025
10583457,INV0000005
10525203,INV0004891
10525203,INV0000446
10731372,INV0001707
10731372,INV0000307
10846810,INV0000401
10629731,INV0001613
10857922,INV0004371
10857922,INV0000855
10857922,INV0004206
10792176,INV0000529
10690398,INV0002737
10557237,INV0000001
10557237,INV0003501
10557237,INV0002698
10798803,INV0000915
10798803,INV0000010
10531790,INV0000461
10710392,INV0000061
10710392,INV0000004
10710392,INV0002261
D880563,INV0000185
D880563,INV0003637
10825164,INV0000219
10825164,INV0003480
10825164,INV0003926
10709567,INV0000119
10709567,INV0000865
10709567,INV0000138
10828950,INV0000002
10828950,INV0000035
10703264,INV0000002
10633006,INV0000745
10560398,INV0000011
10560398,INV0000354
10594635,INV0000000
D905121,INV0004762
D905121,INV0002545
10849590,INV0000247
10672673,INV0000065
10875263,INV0000186
10875263,INV0003643
10603734,INV0000001
10603734,INV0000007
10603734,INV0003249
D900626,INV0004274
10711776,INV0001198
D903001,INV0002884
10800074,INV0000069
10800074,INV0000000
10537246,INV0000023
10537246,INV0000338
10537246,INV0001611
10675408,INV0000006
10680792,INV0000292
10800983,INV0000019
10558811,INV0000197
10769500,INV0000120
10769500,INV0000384
10769500,INV0000058
10614280,INV0000907
10614280,INV0003077
10614280,INV0000124
10603617,INV0001602
10603617,INV0002405
10603617,INV0002632
10804273,INV0002562
10815429,INV0000006
10815429,INV0000779
10815429,INV0003817
10873851,INV0000006
10873851,INV0000000
10604173,INV0004729
10604173,INV0000008
D874625,INV0004698
D874625,INV0000580
10792129,INV0001360
10549878,INV0000409
10549878,INV0000003
10549878,INV0004519
10717759,INV0000850
10717759,INV0000004
10717759,INV0000000
10571502,INV0000013
10571502,INV0000173
10571502,INV0000149
10703139,INV0002669
10703139,INV0000042
10559940,INV0001425
10649874,INV0000310
10649874,INV0000049
10649874,INV0001232
10865484,INV0000004
10865484,INV0001998
10856175,INV0004510
10652604,INV0000365
10652604,INV0000638
10541033,INV0003086
10541033,INV0000326
10695901,INV0000373
10695901,INV0000035
10695901,INV0000115
10784359,INV0000363
10784359,INV0000086
10784359,INV0004918
10775895,INV0000043
10630039,INV0004444
10601725,INV0000001
10601725,INV0000092
10879290,INV0000000
D877715,INV0000345
10762187,INV0000988
10762187,INV0000013
10625510,INV0000005
10528501,INV0004977
10528501,INV0000001
10872522,INV0000103
10872522,INV0001915
10872377,INV0000362
10626700,INV0001210
10626700,INV0000439
10626700,INV0001794
D873996,INV0000341
D873996,INV0002912
10861785,INV0000106
10861785,INV0004195
10756295,INV0000000
10773015,INV0000155
10773015,INV0000000
10844119,INV0000328
10844119,INV0000458
10844119,INV0000567
10568089,INV0001449
10568089,INV0000388
D886070,INV0000019
D886070,INV0002838
10637276,INV0000030
10637276,INV0000000
10637276,INV0001930
10777417,INV0000071
10877637,INV0000003
10877637,INV0001595
10754800,INV0000143
10865813,INV0002160
10561870,INV0001214
10561870,INV0003979
10561870,INV0000000
10646686,INV0004826
10773033,INV0000290
10773033,INV0002552
10695415,INV0000009
10800290,INV0002244
10778994,INV0000011
10778994,INV0001542
10611342,INV0000165
10764990,INV0000142
10764990,INV0003873
10764990,INV0000070
10591532,INV0000009
10591532,INV0000854
10591532,INV0001328
10754141,INV0000014
10734840,INV0000132
10734840,INV0000000
10584117,INV0000001
10872788,INV0000013
10872788,INV0000140
10859558,INV0001714
10610914,INV0000006
10859729,INV0000656
10859729,INV0000067
10577195,INV0000969
10747013,INV0000000
10747013,INV0000207
10571991,INV0001959
10571991,INV0000035
10822559,INV0000051
10630937,INV0000092
10537110,INV0000270
10537110,INV0000455
10590299,INV0000020
10637712,INV0002098
10637712,INV0001036
10834060,INV0000024
10834060,INV0001676
10834060,INV0000027
10606122,INV0002469
10606122,INV0000366
10606122,INV0001305
10730999,INV0000222
10628226,INV0000021
10628226,INV0000543
10628226,INV0001152
10847711,INV0001953
10847711,INV0000021
10847711,INV0000452
D880753,INV0002879
D880753,INV0004214
10557361,INV0000264
10614610,INV0000001
10658044,INV0000045
10658044,INV0000057
10618243,INV0000502
10618243,INV0000027
10618243,INV0000316
10586701,INV0001884
10586701,INV0000752
10586701,INV0000018
D888010,INV0002083
D888010,INV0000946
10587238,INV0002643
10587238,INV0000272
10525982,INV0000664
10525982,INV0001787
10525982,INV0001840
D882681,INV0000001
D882681,INV0000097
10604000,INV0002649
10604000,INV0000003
10759520,INV0000194
10857308,INV0000014
10857308,INV0000000
10857308,INV0000109
10632955,INV0000030
10577906,INV0000003
10577906,INV0002172
10577906,INV0000974
10647686,INV0000176
10647686,INV0000094
10647686,INV0001283
10802954,INV0002010
10802954,INV0000040
10752470,INV0002608
10752470,INV0000058
10752470,INV0000189
10563123,INV0004966
10563123,INV0003635
10590195,INV0001851
10625664,INV0000088
10583066,INV0000033
10572683,INV0004718
10572683,INV0004020
10655342,INV0000003
10655342,INV0000886
10655342,INV0000005
10846469,INV0000782
10576462,INV0000023
10661370,INV0001565
10832536,INV0000068
10804975,INV0000027
10804975,INV0000018
10804975,INV0003404
10623468,INV0002439
10623468,INV0001986
10623468,INV0000016
10816864,INV0004633
10665072,INV0000270
10665072,INV0000743
10629737,INV0001720
10629737,INV0001401
10844072,INV0000377
10844072,INV0000518
10775028,INV0000113
10775028,INV0000969
10750779,INV0000003
10750779,INV0000000
10586784,INV0000083
10586784,INV0000037
10880332,INV0000222
10701667,INV0004993
10701667,INV0000030
10701667,INV0004580
10535223,INV0000879
10535223,INV0000042
10535223,INV0002557
10753341,INV0000000
10757486,INV0000188
10832291,INV0002009
10832291,INV0002526
10832291,INV0000327
10744724,INV0000015
10744724,INV0000069
10744724,INV0000000
10799901,INV0000000
10799901,INV0000013
10877809,INV0000175
10877809,INV0000000
10877809,INV0000104
10667563,INV0000001
10760119,INV0003839
10760119,INV0000268
10760119,INV0000142
D878444,INV0003767
10580962,INV0001641
10660838,INV0000000
10879135,INV0000323
10879135,INV0000042
10879135,INV0000003
10624982,INV0000001
10701198,INV0004494
10701198,INV0000619
10701198,INV0004749
10726117,INV0002133
10726117,INV0001543
D876684,INV0001504
10608577,INV0001040
10608577,INV0003227
10853568,INV0000108
10853568,INV0000004
10585143,INV0004214
10704466,INV0001046
10562260,INV0000000
10562260,INV0000067
10562260,INV0000295
10564938,INV0000890
10564938,INV0000039
10801845,INV0004605
10801845,INV0000018
10801845,INV0001479
10545685,INV0000355
10583256,INV0000382
10583256,INV0000000
10583256,INV0000296
10622390,INV0000702
10713006,INV0000112
10537389,INV0000043
10537389,INV0000150
10653979,INV0001921
10653979,INV0002650
10654836,INV0000008
10867492,INV0001311
10867492,INV0000000
10867492,INV0003514
10665560,INV0002956
10665560,INV0000142
10716781,INV0000002
10716781,INV0000003
D884624,INV0000242
D884624,INV0000395
10704514,INV0002795
10704514,INV0000088
10704514,INV0004293
10644768,INV0000006
10644768,INV0003770
10644768,INV0000721
10698166,INV0000462
10698166,INV0000260
10698166,INV0004334
10587530,INV0000179
10694624,INV0000035
10678438,INV0000157
10625093,INV0000841
10625093,INV0000089
10625093,INV0002817
10745315,INV0004833
10745315,INV0002118
10745315,INV0000052
D895065,INV0004665
10567854,INV0000048
D881955,INV0000019
D881955,INV0000996
10534330,INV0000005
10534330,INV0000074
D904757,INV0001539
10534873,INV0002584
10866969,INV0000004
10866969,INV0000007
10866969,INV0000347
10564441,INV0002148
D889084,INV0000071
10832630,INV0001469
10832630,INV0001176
10845484,INV0000595
10845484,INV0002141
10845484,INV0000132
10664089,INV0000115
10664089,INV0003233
10664089,INV0000004
10622178,INV0000007
10622178,INV0003842
10866694,INV0000013
10643238,INV0001275
10643238,INV0000126
10643238,INV0000015
10772184,INV0000022
10772184,INV0000997
10606620,INV0000187
10606620,INV0000000
10606620,INV0000004
10545382,INV0000358
10813099,INV0004290
10656842,INV0001950
D902023,INV0000040
D902023,INV0000487
D902023,INV0000070
10771534,INV0001154
10771534,INV0000302
10771534,INV0000630
10604033,INV0000353
10604033,INV0000055
10869340,INV0002908
10869340,INV0001668
10869340,INV0000578
10690492,INV0003308
10690492,INV0003902
10563150,INV0000085
10713198,INV0004370
10713198,INV0001164
10713198,INV0000386
D902819,INV0000814
D902819,INV0000900
D902819,INV0002916
10541759,INV0001711
10541759,INV0001664
10541759,INV0002971
10774726,INV0000012
10774726,INV0000070
10528683,INV0000032
10528683,INV0000004
D902629,INV0000026
D902629,INV0004067
10548334,INV0000100
10548334,INV0003102
10548334,INV0000000
10558877,INV0000003
10558877,INV0000006
10558877,INV0003237
10823578,INV0000020
10603947,INV0000419
10603947,INV0000215
D877779,INV0000284
10856519,INV0003937
10856519,INV0003494
10689570,INV0002531
10689570,INV0003405
10693592,INV0000920
10693592,INV0003375
10848919,INV0000093
10580868,INV0000007
10580868,INV0002471
10580868,INV0000616
10713140,INV0000019
D878846,INV0000007
D878846,INV0000000
10772350,INV0000974
10772350,INV0000553
10606521,INV0000198
10548359,INV0000280
10548359,INV0000001
10548359,INV0000035
10724956,INV0002693
10724956,INV0000757
10651476,INV0003991
10651476,INV0000793
10651476,INV0000195
10583356,INV0000770
10688380,INV0000822
10688380,INV0002459
10567838,INV0000015
10567838,INV0003899
10602659,INV0000633
10602659,INV0001041
10602659,INV0001645
D883225,INV0000000
D883225,INV0002723
D883225,INV0000380
10708336,INV0000801
10708336,INV0004857
10708336,INV0000072
10638171,INV0000017
10869137,INV0000006
10778915,INV0000000
10577455,INV0002328
10577455,INV0000010
10577455,INV0003560
10639428,INV0001622
10639428,INV0000069
10639428,INV0000573
10835616,INV0001893
10838415,INV0000025
10592739,INV0001083
10726740,INV0000775
10741437,INV0003359
10741437,INV0000515
10741437,INV0000866
10674140,INV0000005
10674140,INV0001019
10697577,INV0000477
10697577,INV0000008
10720683,INV0001423
10720683,INV0000005
10528430,INV0000511
10528430,INV0000001
10528430,INV0000804
10639042,INV0003391
10635942,INV0001569
10787201,INV0000267
D879475,INV0000038
D879475,INV0000001
D879475,INV0000022
10736527,INV0000011
10736527,INV0001511
10736527,INV0000034
10551721,INV0000023
10758843,INV0000037
10758843,INV0000000
10769917,INV0000000
10769917,INV0000406
10769917,INV0004352
10679404,INV0000109
10831816,INV0000312
10831816,INV0001053
10876026,INV0000063
10529767,INV0000257
10768259,INV0000024
10768259,INV0000002
10768259,INV0001117
10632146,INV0000035
10756035,INV0000731
10756035,INV0000177
10756035,INV0001692
10718828,INV0002216
10683280,INV0003513
10683280,INV0000036
10683280,INV0000784
10625021,INV0004384
10625021,INV0000887
10625021,INV0000052
10799530,INV0000010
10799530,INV0000002
10808791,INV0001705
10831586,INV0000411
10831586,INV0003667
10752211,INV0000063
D898989,INV0000010
D898989,INV0003347
10597205,INV0000994
10611545,INV0000050
10609778,INV0000428
10609778,INV0001373
10609778,INV0000130
10778595,INV0000134
10793313,INV0000111
10793313,INV0000230
10793313,INV0001132
10757497,INV0000156
10757497,INV0000431
10757497,INV0000000
10853150,INV0003917
10677399,INV0001125
D890134,INV0000035
10708516,INV0000008
10708516,INV0003117
10708516,INV0000004
10745068,INV0000003
10745068,INV0000012
10807003,INV0002048
10830345,INV0000015
10830345,INV0000531
PP31744,INV0000073
PP31744,INV0000509
